지점,일시,평균 수온(°C)
22478,2020-01-01,10.9
22478,2020-01-02,10.9
22478,2020-01-03,10.9
22478,2020-01-04,10.8
22478,2020-01-05,10.7
22478,2020-01-06,10.6
22478,2020-01-07,10.9
22478,2020-01-08,10.9
22478,2020-01-09,10.7
22478,2020-01-10,10.5
22478,2020-01-11,10.3
22478,2020-01-12,10.1
22478,2020-01-13,9.9
22478,2020-01-14,9.9
22478,2020-01-15,9.8
22478,2020-01-16,9.9
22478,2020-01-17,9.8
22478,2020-01-18,9.7
22478,2020-01-19,9.9
22478,2020-01-20,10
22478,2020-01-21,9.9
22478,2020-01-22,9.9
22478,2020-01-23,10.1
22478,2020-01-24,10.3
22478,2020-01-25,10.2
22478,2020-01-26,10.3
22478,2020-01-27,10.1
22478,2020-01-28,10.2
22478,2020-01-29,10.2
22478,2020-01-30,10.2
22478,2020-01-31,10.1
22478,2020-02-01,10
22478,2020-02-02,10
22478,2020-02-03,10.3
22478,2020-02-04,10.3
22478,2020-02-05,10.3
22478,2020-02-06,9.9
22478,2020-02-07,9.9
22478,2020-02-08,10
22478,2020-02-09,9.5
22478,2020-02-10,9.6
22478,2020-02-11,9.6
22478,2020-02-12,9.8
22478,2020-02-13,9.9
22478,2020-02-14,10.1
22478,2020-02-15,10.3
22478,2020-02-16,10.1
22478,2020-02-17,10.1
22478,2020-02-18,9.8
22478,2020-02-19,10
22478,2020-02-20,10.2
22478,2020-02-21,10.2
22478,2020-02-22,10.4
22478,2020-02-23,10.5
22478,2020-02-24,10.6
22478,2020-02-25,10.7
22478,2020-02-26,10.9
22478,2020-02-27,10.8
22478,2020-02-28,11
22478,2020-02-29,11.1
22478,2020-03-01,11.3
22478,2020-03-02,11.1
22478,2020-03-03,11.1
22478,2020-03-04,11.1
22478,2020-03-05,11.1
22478,2020-03-06,11.2
22478,2020-03-07,11
22478,2020-03-08,11.1
22478,2020-03-09,11
22478,2020-03-10,11
22478,2020-03-11,10.8
22478,2020-03-12,10.9
22478,2020-03-13,11.1
22478,2020-03-14,11
22478,2020-03-15,11.2
22478,2020-03-16,11.4
22478,2020-03-17,11.5
22478,2020-03-18,12.2
22478,2020-03-19,12
22478,2020-03-20,12.1
22478,2020-03-21,12.4
22478,2020-03-22,12.4
22478,2020-03-23,12.3
22478,2020-03-24,12.3
22478,2020-03-25,12.4
22478,2020-03-26,12.4
22478,2020-03-27,12.4
22478,2020-03-28,12.3
22478,2020-03-29,12.4
22478,2020-03-30,12.5
22478,2020-03-31,13
22478,2020-04-01,12.5
22478,2020-04-02,13
22478,2020-04-03,12.8
22478,2020-04-04,12.8
22478,2020-04-05,12.7
22478,2020-04-06,12.9
22478,2020-04-07,13
22478,2020-04-08,13
22478,2020-04-09,13
22478,2020-04-10,13
22478,2020-04-11,12.9
22478,2020-04-12,12.8
22478,2020-04-13,12.9
22478,2020-04-14,13.2
22478,2020-04-15,13.1
22478,2020-04-16,13.2
22478,2020-04-17,13.2
22478,2020-04-18,13.5
22478,2020-04-19,13.2
22478,2020-04-20,13.5
22478,2020-04-21,13.4
22478,2020-04-22,13.4
22478,2020-04-23,13.4
